시도,시군구,주소,주택유형,매입유형,전용면적(m2),임대보증금액,안심전세포털,네이버지도
인천광역시,인천 서구,인천 서구 검암동 664-10 DS리치빌 3동 4층 404호,다세대주택,경매등매입형,39.69,"85,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022322667,https://map.naver.com/p/search/인천 서구 검암동 664-10 DS리치빌 3동 4층 404호
인천광역시,인천 서구,인천 서구 공촌동 301-1 골든타운 가동 3층 302호,연립주택,경매등매입형,52.82,"87,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023128315,https://map.naver.com/p/search/인천 서구 공촌동 301-1 골든타운 가동 3층 302호
인천광역시,인천 미추홀구,인천 미추홀구 주안동 77-3 주안지웰에스테이트 102동 8층 오피스텔806호,오피스텔(주거용),경매등매입형,23.2701,"88,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023287177,https://map.naver.com/p/search/인천 미추홀구 주안동 77-3 주안지웰에스테이트 102동 8층 오피스텔806호
인천광역시,인천 서구,인천 서구 검암동 668-1 엘지아트빌 A동 4층 403호,다세대주택,경매등매입형,44.17,"88,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023355329,https://map.naver.com/p/search/인천 서구 검암동 668-1 엘지아트빌 A동 4층 403호
인천광역시,인천 서구,인천 서구 경서동 755-4 다솜채5 2층 201호,다세대주택,경매등매입형,50.5775,"88,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023386905,https://map.naver.com/p/search/인천 서구 경서동 755-4 다솜채5 2층 201호
인천광역시,인천 서구,인천 서구 당하동 1085-8 라비앙로즈빌 C동 3층 302호,다세대주택,협의매입형,42.8,"88,200,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023212267,https://map.naver.com/p/search/인천 서구 당하동 1085-8 라비앙로즈빌 C동 3층 302호
인천광역시,인천 미추홀구,인천 미추홀구 용현동 629-41 하이빌리지 4층 402호,다세대주택,경매등매입형,59.57,"89,100,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023294780,https://map.naver.com/p/search/인천 미추홀구 용현동 629-41 하이빌리지 4층 402호
인천광역시,인천 부평구,인천 부평구 부평동 12-144 S.R프리스틴 2층 202호,다세대주택,경매등매입형,35.89,"89,100,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023255307,https://map.naver.com/p/search/인천 부평구 부평동 12-144 S.R프리스틴 2층 202호
서울특별시,서울 은평구,서울 은평구 역촌동 20-14 해창이너스빌 6층 602호,다세대주택,협의매입형,14.5,"90,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2024256329,https://map.naver.com/p/search/서울 은평구 역촌동 20-14 해창이너스빌 6층 602호
경기도,경기 김포시,경기 김포시 구래동 6878-14 연세6차라스토케 5층 509호,오피스텔(주거용),경매등매입형,28.8296,"90,000,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023351846,https://map.naver.com/p/search/경기 김포시 구래동 6878-14 연세6차라스토케 5층 509호
경기도,경기 부천시 오정구,경기 부천시 오정구 내동 297-5 청담빌리지 5층 501호,다세대주택,경매등매입형,36.45,"90,900,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023039486,https://map.naver.com/p/search/경기 부천시 오정구 내동 297-5 청담빌리지 5층 501호
인천광역시,인천 서구,"인천 서구 당하동 1087-5, 1087-16, 1087-17, 1087-18, 1087-19 플로채 101동 3층 301호",다세대주택,경매등매입형,48.19,"94,500,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023163087,"https://map.naver.com/p/search/인천 서구 당하동 1087-5, 1087-16, 1087-17, 1087-18, 1087-19 플로채 101동 3층 301호"
인천광역시,인천 서구,인천 서구 당하동 1042-4 중앙E-클래스13차 102동 4층 401호,다세대주택,경매등매입형,45.15,"95,400,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022263773,https://map.naver.com/p/search/인천 서구 당하동 1042-4 중앙E-클래스13차 102동 4층 401호
인천광역시,인천 남동구,"인천 남동구 만수동 895-10, 895-11 엄베스트빌 4층 402호",다세대주택,경매등매입형,38.32,"96,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023471962,"https://map.naver.com/p/search/인천 남동구 만수동 895-10, 895-11 엄베스트빌 4층 402호"
인천광역시,인천 미추홀구,인천 미추홀구 주안동 114-16 미진 6층 602호,다세대주택,경매등매입형,47.67,"96,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2023189373,https://map.naver.com/p/search/인천 미추홀구 주안동 114-16 미진 6층 602호
인천광역시,인천 서구,인천 서구 당하동 1084-8 에덴하우스 나동 2층 202호,다세대주택,경매등매입형,47.35,"96,300,000",https://www.khug.or.kr/jeonse/web/s07/s070103.jsp?dt=20250625&no=2022268081,https://map.naver.com/p/search/인천 서구 당하동 1084-8 에덴하우스 나동 2층 202호
